run_acc	sample_type	sample_subtype	organism	gold
SRR5460461	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116324
SRR5460462	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116327
SRR5460463	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116326
SRR5460480	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116328
SRR5460690	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116340
SRR5460691	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116340
SRR5460692	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116345
SRR5460694	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116345
SRR5496025	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116330
SRR5496027	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112814
SRR5496028	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0112813
SRR5506996	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0111706
SRR5506998	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0111707
SRR5507163	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0111709
SRR5507178	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0111708
SRR5508059	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0111710
SRR5508097	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0111711
SRR5509277	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0111712
SRR5511004	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0111713
SRR5511291	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0111715
